number,original name
0,11555
1,9809
2,9842
3,11542
4,11582
5,10578
6,11614
7,11673
8,9727
9,11313
10,10480
11,11579
12,9723
13,10216
14,10452
15,10979
16,11575
17,11622
18,9703
19,10479
20,11331
21,9730
22,11551
23,11546
24,12593
25,10768
26,11003
27,11669
28,10459
29,10024
30,10093
31,9914
32,9958
33,9975
34,10046
35,11301
36,10092
37,10058
38,9986
39,9999
40,9939
41,9919
42,10028
43,10073
44,10068
45,9911
46,11297
47,9954
48,11000
49,10050
50,10089
51,9971
52,10013
53,10003
54,10090
55,11017
56,10077
57,10032
58,10054
59,9951
60,9922
61,9983
62,10017
63,10083
64,12167
65,11893
66,12610
67,12174
68,12138
69,11803
70,11175
71,11847
72,12700
73,10670
74,11100
75,12665
76,11180
77,11094
78,12938
79,10315
80,9819
81,12647
82,12906
83,11073
84,12683
85,12026
86,10288
87,11143
88,10720
89,10336
90,10571
91,12281
92,11189
93,12438
94,10814
95,10770
96,12371
97,11361
98,12374
99,10786
100,10781
101,11374
102,12426
103,11410
104,10840
105,10850
106,12439
107,10777
108,1
109,973
110,0479
