new name,original name
d52,CA152
d51,BZ151
d54,CC154
d53,CB153
d56,CE156
d55,CD155
d58,CG158
d57,CF157
d59,CH159
d61,CJ161
d60,CI160
d63,CL163
d62,CK162
d65,CN165
d64,CM164
d67,CP167
d66,CO166
d69,CR169
d68,CQ168
d70,CS170
d72,CU172
d71,CT171
d74,CW174
d73,CV173
d76,CY176
d75,CX175
d78,DA178
d77,CZ177
d79,DB179
d0,AA100
d1,AB101
d2,AC102
d3,AD103
d4,AE104
d5,AF105
d6,AG106
d7,AH107
d8,AI108
d9,AJ109
d81,DD181
d80,DC180
d83,DF183
d82,DE182
d85,DH185
d84,DG184
d87,DJ187
d86,DI186
d89,DL189
d88,DK188
d90,DM190
d92,DO192
d91,DN191
d94,DQ194
d93,DP193
d96,DS196
d95,DR195
d10,AK110
d98,DU198
d97,DT197
d12,AM112
d11,AL111
d99,DV199
d14,AO114
d13,AN113
d16,AQ116
d15,AP115
d18,AS118
d17,AR117
d19,AT119
d21,AV121
d20,AU120
d23,AX123
d22,AW122
d25,AZ125
d24,AY124
d27,BB127
d26,BA126
d29,BD129
d28,BC128
d30,BE130
d32,BG132
d31,BF131
d34,BI134
d33,BH133
d36,BK136
d35,BJ135
d38,BM138
d37,BL137
d39,BN139
d41,BP141
d40,BO140
d43,BR143
d42,BQ142
d45,BT145
d44,BS144
d47,BV147
d46,BU146
d49,BX149
d48,BW148
d50,BY150
