object0,object1,node
52,-1,0
51,-1,1
54,-1,2
198,-1,3
53,-1,4
199,-1,5
56,-1,6
196,-1,7
55,-1,8
197,-1,9
58,-1,0
194,-1,1
57,-1,2
195,-1,3
192,-1,4
59,-1,5
193,-1,6
190,-1,7
191,-1,8
61,-1,9
60,-1,0
63,-1,1
189,-1,2
62,-1,3
65,-1,4
187,-1,5
64,-1,6
188,-1,7
67,-1,8
185,-1,9
66,-1,0
186,-1,1
69,-1,2
183,-1,3
68,-1,4
184,-1,5
181,-1,6
182,-1,7
180,-1,8
70,-1,9
72,-1,0
71,-1,1
74,-1,2
73,-1,3
76,-1,4
75,-1,5
78,-1,6
77,-1,7
79,-1,8
0,-1,9
1,-1,0
2,-1,1
3,-1,2
4,-1,3
5,-1,4
6,-1,5
7,-1,6
8,-1,7
9,-1,8
81,-1,9
80,-1,0
83,-1,1
82,-1,2
85,-1,3
84,-1,4
87,-1,5
86,-1,6
89,-1,7
88,-1,8
90,-1,9
92,-1,0
91,-1,1
94,-1,2
93,-1,3
96,-1,4
95,-1,5
98,-1,6
97,-1,7
99,-1,8
300,-1,9
309,-1,0
307,-1,1
308,-1,2
305,-1,3
306,-1,4
303,-1,5
304,-1,6
301,-1,7
302,-1,8
211,-1,9
212,-1,0
210,-1,1
219,-1,2
217,-1,3
218,-1,4
215,-1,5
216,-1,6
213,-1,7
214,-1,8
200,-1,9
201,-1,0
208,-1,1
209,-1,2
206,-1,3
207,-1,4
204,-1,5
205,-1,6
202,-1,7
203,-1,8
112,-1,9
233,-1,0
113,-1,1
234,-1,2
110,-1,3
231,-1,4
111,-1,5
232,-1,6
230,-1,7
118,-1,8
239,-1,9
119,-1,0
116,-1,1
237,-1,2
117,-1,3
238,-1,4
114,-1,5
235,-1,6
115,-1,7
236,-1,8
101,-1,9
222,-1,0
102,-1,1
223,-1,2
220,-1,3
100,-1,4
221,-1,5
109,-1,6
107,-1,7
228,-1,8
108,-1,9
229,-1,0
105,-1,1
226,-1,2
106,-1,3
227,-1,4
103,-1,5
224,-1,6
104,-1,7
225,-1,8
134,-1,9
255,-1,0
135,-1,1
256,-1,2
132,-1,3
253,-1,4
133,-1,5
254,-1,6
130,-1,7
251,-1,8
131,-1,9
252,-1,0
250,-1,1
138,-1,2
259,-1,3
139,-1,4
136,-1,5
257,-1,6
137,-1,7
258,-1,8
123,-1,9
244,-1,0
124,-1,1
245,-1,2
121,-1,3
242,-1,4
122,-1,5
243,-1,6
240,-1,7
120,-1,8
241,-1,9
129,-1,0
127,-1,1
248,-1,2
128,-1,3
249,-1,4
125,-1,5
246,-1,6
126,-1,7
247,-1,8
156,-1,9
277,-1,0
157,-1,1
278,-1,2
10,-1,3
154,-1,4
275,-1,5
155,-1,6
276,-1,7
12,-1,8
152,-1,9
273,-1,0
11,-1,1
153,-1,2
274,-1,3
14,-1,4
150,-1,5
271,-1,6
13,-1,7
151,-1,8
272,-1,9
16,-1,0
15,-1,1
270,-1,2
18,-1,3
17,-1,4
19,-1,5
158,-1,6
279,-1,7
159,-1,8
145,-1,9
266,-1,0
146,-1,1
267,-1,2
21,-1,3
143,-1,4
264,-1,5
20,-1,6
144,-1,7
265,-1,8
23,-1,9
141,-1,0
262,-1,1
22,-1,2
142,-1,3
263,-1,4
25,-1,5
260,-1,6
24,-1,7
140,-1,8
261,-1,9
27,-1,0
26,-1,1
29,-1,2
28,-1,3
149,-1,4
147,-1,5
268,-1,6
148,-1,7
269,-1,8
30,-1,9
178,-1,0
299,-1,1
179,-1,2
32,-1,3
176,-1,4
297,-1,5
31,-1,6
177,-1,7
298,-1,8
34,-1,9
174,-1,0
295,-1,1
33,-1,2
175,-1,3
296,-1,4
36,-1,5
172,-1,6
293,-1,7
35,-1,8
173,-1,9
294,-1,0
38,-1,1
170,-1,2
291,-1,3
37,-1,4
171,-1,5
292,-1,6
39,-1,7
290,-1,8
41,-1,9
167,-1,0
288,-1,1
40,-1,2
168,-1,3
289,-1,4
43,-1,5
165,-1,6
286,-1,7
42,-1,8
166,-1,9
287,-1,0
45,-1,1
163,-1,2
284,-1,3
44,-1,4
164,-1,5
285,-1,6
47,-1,7
161,-1,8
282,-1,9
46,-1,0
162,-1,1
283,-1,2
49,-1,3
280,-1,4
48,-1,5
160,-1,6
281,-1,7
50,-1,8
169,-1,9
102,246,5
102,246,9
75,83,4
75,83,7
152,13,2
152,13,3
131,214,0
131,214,5
143,138,1
143,138,5
252,109,1
171,237,6
171,237,9
304,296,5
304,296,8
189,19,4
189,19,7
271,281,0
271,281,4
295,290,9
7,245,4
7,245,9
120,205,4
120,205,5
220,40,1
136,32,1
136,32,9
232,90,2
232,90,5
82,81,3
82,81,5
165,110,7
165,110,9
192,72,2
192,72,7
80,115,1
80,115,8
113,228,4
164,287,2
164,287,7
70,216,7
70,216,8
106,244,6
106,244,7
232,113,0
232,113,5
0,118,0
0,118,3
187,135,8
187,135,9
133,74,0
133,74,6
45,114,4
45,114,7
190,285,0
190,285,8
264,157,0
264,157,2
4,19,6
21,252,7
21,252,9
253,200,1
97,86,1
97,86,9
309,306,2
309,306,5
300,53,2
300,53,7
210,182,0
20,199,2
20,199,7
117,238,6
117,238,9
288,121,5
288,121,6
2,272,3
2,272,4
198,242,2
198,242,5
153,220,4
153,220,9
161,56,4
10,133,0
10,133,4
178,280,6
178,280,7
250,160,7
250,160,8
125,83,4
125,83,8
12,162,7
12,162,9
185,51,4
185,51,7
22,290,7
22,290,9
132,120,0
132,120,4
98,44,0
98,44,3
259,234,5
259,234,7
263,217,1
263,217,8
77,234,1
77,234,4
69,158,3
69,158,8
25,124,2
174,39,1
243,12,2
243,12,5
37,257,0
37,257,9
253,61,2
253,61,6
107,244,6
107,244,9
193,15,0
193,15,4
87,139,3
87,139,7
261,8,5
261,8,8
54,63,5
54,63,6
159,36,3
159,36,7
213,124,0
89,227,2
89,227,9
283,239,3
24,28,1
24,28,8
236,57,4
236,57,6
60,40,3
260,273,3
260,273,7
88,155,1
88,155,5
291,96,6
291,96,8
162,235,2
162,235,9
303,77,6
303,77,8
26,296,5
26,296,6
70,18,0
70,18,2
206,202,5
206,202,6
304,176,0
304,176,2
50,195,0
50,195,6
197,277,4
197,277,6
260,163,5
260,163,7
99,75,4
99,75,6
305,306,2
305,306,8
295,168,6
175,308,5
175,308,8
292,85,0
292,85,1
17,228,1
17,228,3
239,294,3
239,294,5
178,150,4
178,150,8
62,146,0
62,146,7
219,222,5
219,222,8
76,92,2
76,92,9
78,218,0
78,218,8
209,147,0
209,147,4
271,219,1
122,236,1
122,236,7
127,44,5
127,44,6
56,14,0
56,14,9
293,61,1
293,61,5
172,154,8
166,284,0
166,284,2
235,4,4
235,4,8
141,285,8
141,285,9
41,26,5
41,26,8
276,92,3
276,92,4
176,74,7
5,33,1
5,33,3
269,207,1
269,207,3
196,249,1
196,249,9
175,188,5
175,188,9
190,101,3
