object0,object1,node
52,-1,0
52,-1,8
51,-1,1
51,-1,9
54,-1,2
54,-1,7
198,-1,3
198,-1,8
53,-1,4
53,-1,7
199,-1,0
199,-1,5
56,-1,1
56,-1,6
196,-1,4
196,-1,7
55,-1,8
55,-1,9
197,-1,6
197,-1,9
58,-1,0
58,-1,7
194,-1,1
194,-1,4
57,-1,2
57,-1,3
195,-1,3
195,-1,5
192,-1,4
192,-1,6
59,-1,1
59,-1,5
193,-1,5
193,-1,6
190,-1,4
190,-1,7
191,-1,2
191,-1,8
61,-1,2
61,-1,9
60,-1,0
60,-1,3
63,-1,1
63,-1,3
189,-1,2
189,-1,9
62,-1,2
62,-1,3
65,-1,4
65,-1,7
187,-1,5
187,-1,9
64,-1,3
64,-1,6
188,-1,7
188,-1,9
67,-1,0
67,-1,8
185,-1,3
185,-1,9
66,-1,0
66,-1,3
186,-1,1
186,-1,9
69,-1,0
69,-1,2
183,-1,3
183,-1,6
68,-1,4
68,-1,5
184,-1,2
184,-1,5
181,-1,5
181,-1,6
182,-1,2
182,-1,7
180,-1,4
180,-1,8
70,-1,6
70,-1,9
72,-1,0
72,-1,5
71,-1,1
71,-1,3
74,-1,2
74,-1,3
73,-1,3
73,-1,4
76,-1,0
76,-1,4
75,-1,5
75,-1,6
78,-1,6
78,-1,7
77,-1,0
77,-1,7
79,-1,1
79,-1,8
0,-1,7
0,-1,9
1,-1,0
1,-1,7
2,-1,1
2,-1,6
3,-1,1
3,-1,2
4,-1,3
4,-1,8
5,-1,3
5,-1,4
6,-1,5
6,-1,7
7,-1,5
7,-1,6
8,-1,5
8,-1,7
9,-1,1
9,-1,8
81,-1,0
81,-1,9
80,-1,0
80,-1,9
83,-1,1
83,-1,8
82,-1,0
82,-1,2
85,-1,3
85,-1,7
84,-1,4
84,-1,6
87,-1,5
87,-1,6
86,-1,6
86,-1,7
89,-1,1
89,-1,7
88,-1,6
88,-1,8
90,-1,1
90,-1,9
92,-1,0
92,-1,3
91,-1,1
91,-1,3
94,-1,2
94,-1,4
93,-1,1
93,-1,3
96,-1,4
96,-1,9
95,-1,0
95,-1,5
98,-1,0
98,-1,6
97,-1,4
97,-1,7
99,-1,8
99,-1,9
300,-1,4
300,-1,9
309,-1,0
309,-1,4
307,-1,1
307,-1,2
308,-1,2
308,-1,3
305,-1,3
305,-1,5
306,-1,4
306,-1,9
303,-1,3
303,-1,5
304,-1,6
304,-1,7
301,-1,2
301,-1,7
302,-1,5
302,-1,8
211,-1,8
211,-1,9
212,-1,0
212,-1,2
210,-1,1
210,-1,7
219,-1,2
219,-1,7
217,-1,3
217,-1,8
218,-1,0
218,-1,4
215,-1,1
215,-1,5
216,-1,6
216,-1,7
213,-1,2
213,-1,7
214,-1,4
214,-1,8
200,-1,4
200,-1,9
201,-1,0
201,-1,5
208,-1,1
208,-1,2
209,-1,2
209,-1,9
206,-1,0
206,-1,3
207,-1,3
207,-1,4
204,-1,0
204,-1,5
205,-1,6
205,-1,7
202,-1,7
202,-1,8
203,-1,0
203,-1,8
112,-1,4
112,-1,9
233,-1,0
233,-1,4
113,-1,1
113,-1,8
234,-1,1
234,-1,2
110,-1,3
110,-1,8
231,-1,1
231,-1,4
111,-1,5
111,-1,6
232,-1,1
232,-1,6
230,-1,7
230,-1,9
118,-1,8
118,-1,9
239,-1,3
239,-1,9
119,-1,0
119,-1,1
116,-1,1
116,-1,9
237,-1,2
237,-1,9
117,-1,3
117,-1,5
238,-1,0
238,-1,4
114,-1,1
114,-1,5
235,-1,0
235,-1,6
115,-1,7
115,-1,9
236,-1,8
236,-1,9
101,-1,6
101,-1,9
222,-1,0
222,-1,9
102,-1,1
102,-1,3
223,-1,2
223,-1,6
220,-1,2
220,-1,3
100,-1,4
100,-1,5
221,-1,5
221,-1,8
109,-1,3
109,-1,6
107,-1,7
107,-1,8
228,-1,3
228,-1,8
108,-1,3
108,-1,9
229,-1,0
229,-1,8
105,-1,1
105,-1,9
226,-1,2
226,-1,6
106,-1,1
106,-1,3
227,-1,4
227,-1,9
103,-1,5
103,-1,6
224,-1,1
224,-1,6
104,-1,7
104,-1,9
225,-1,5
225,-1,8
134,-1,0
134,-1,9
255,-1,0
255,-1,8
135,-1,1
135,-1,6
256,-1,2
256,-1,7
132,-1,3
132,-1,4
253,-1,4
253,-1,8
133,-1,5
133,-1,6
254,-1,6
254,-1,8
130,-1,2
130,-1,7
251,-1,7
251,-1,8
131,-1,5
131,-1,9
252,-1,0
252,-1,6
250,-1,1
250,-1,6
138,-1,2
138,-1,3
259,-1,1
259,-1,3
139,-1,4
139,-1,6
136,-1,1
136,-1,5
257,-1,5
257,-1,6
137,-1,7
137,-1,8
258,-1,1
258,-1,8
123,-1,3
123,-1,9
244,-1,0
244,-1,2
124,-1,1
124,-1,9
245,-1,2
245,-1,9
121,-1,2
121,-1,3
242,-1,4
242,-1,9
122,-1,5
122,-1,7
243,-1,0
243,-1,6
240,-1,7
240,-1,8
120,-1,0
